geo_name,smoking_2015,smoking_2016,id,state,poverty_2015,poverty_2016
"Hyde County, NC",,0.193,37095,NC,0.17722023098367184,0.22401940962393854
"Iredell County, NC",0.19699999999999998,0.16699999999999998,37097,NC,0.13963442638008633,0.1333092202429394
"Jackson County, NC",0.222,0.204,37099,NC,0.21971169420149012,0.2308185167387474
"Johnston County, NC",0.254,0.19699999999999998,37101,NC,0.15356268142235124,0.1458664149686303
"Jones County, NC",0.442,0.191,37103,NC,0.21480822459470147,0.22758964143426294
"Lee County, NC",0.2,0.2,37105,NC,0.18094518218206182,0.1828883786284657
"Lenoir County, NC",0.161,0.20600000000000002,37107,NC,0.23206802202749974,0.22096486003573557
"Lincoln County, NC",0.17300000000000001,0.187,37109,NC,0.15544298011731544,0.15062618595825428
"McDowell County, NC",0.231,0.19899999999999998,37111,NC,0.2022137369880449,0.20029542097488923
"Macon County, NC",0.209,0.175,37113,NC,0.19072164948453607,0.18372258869673738
"Madison County, NC",0.22399999999999998,0.18899999999999997,37115,NC,0.18096286657992192,0.16629291872228036
"Martin County, NC",0.11800000000000001,0.21899999999999997,37117,NC,0.2127017841971113,0.20231412041997
"Mecklenburg County, NC",0.138,0.158,37119,NC,0.1521000587579613,0.14150483342397466
"Mitchell County, NC",0.26,0.18100000000000002,37121,NC,0.19457074083979672,0.18042690293999195
"Montgomery County, NC",,0.209,37123,NC,0.2510560352884004,0.21853881964258898
"Moore County, NC",0.154,0.16899999999999998,37125,NC,0.1521358292658741,0.14647452616936185
"Nash County, NC",0.22399999999999998,0.18899999999999997,37127,NC,0.18532814358309008,0.17410869188063843
"New Hanover County, NC",0.18,0.16,37129,NC,0.17737595470553283,0.17696548965832476
"Northampton County, NC",0.215,0.214,37131,NC,0.2814645308924485,0.2846859634004157
"Onslow County, NC",0.248,0.204,37133,NC,0.14626615085678057,0.13869375907111756
"Orange County, NC",0.11599999999999999,0.165,37135,NC,0.15768352645071806,0.1446605544303406
"Pamlico County, NC",,0.17300000000000001,37137,NC,0.13603120429058996,0.1454351570830941
"Pasquotank County, NC",0.348,0.18899999999999997,37139,NC,0.19240049850184288,0.17372655583972718
"Pender County, NC",0.281,0.188,37141,NC,0.1845172804848575,0.18691724413162572
"Perquimans County, NC",0.21,0.185,37143,NC,0.19608721624850656,0.16501008893206787
"Person County, NC",0.27,0.192,37145,NC,0.19876224858174316,0.18452257663628832
"Pitt County, NC",0.192,0.20800000000000002,37147,NC,0.2549248817610888,0.24549609632040406
"Polk County, NC",0.18899999999999997,0.152,37149,NC,0.13916600159616918,0.14517258629314658
"Randolph County, NC",0.23399999999999999,0.20199999999999999,37151,NC,0.17606710025944486,0.16859578031523445
"Richmond County, NC",0.261,0.212,37153,NC,0.2574842230556741,0.2583769869942196
"Robeson County, NC",0.256,0.28600000000000003,37155,NC,0.3164824112945622,0.3076717598033978
"Rockingham County, NC",0.275,0.203,37157,NC,0.18685578363139813,0.1938107145228032
"Rowan County, NC",0.249,0.196,37159,NC,0.18062098261278547,0.17957586712189172
"Rutherford County, NC",0.265,0.217,37161,NC,0.1987688098495212,0.19323052517579584
"Sampson County, NC",0.16899999999999998,0.2,37163,NC,0.2546406473108044,0.2417070650878169
"Scotland County, NC",0.248,0.249,37165,NC,0.3123123123123123,0.3148849227810829
"Stanly County, NC",0.253,0.179,37167,NC,0.17692583670749834,0.17137447548869103
"Stokes County, NC",0.361,0.185,37169,NC,0.16979085307645578,0.1537958257911151
"Surry County, NC",0.275,0.19,37171,NC,0.19709802832546514,0.17850817866157215
"Swain County, NC",0.299,0.231,37173,NC,0.24482907210571675,0.2342387419585418
"Transylvania County, NC",0.22699999999999998,0.161,37175,NC,0.12619773177091514,0.14355291913830784
"Tyrrell County, NC",,0.214,37177,NC,0.21839080459770116,0.2526521496370743
"Union County, NC",0.16399999999999998,0.168,37179,NC,0.10168413155883065,0.09673047997354953
"Vance County, NC",0.275,0.218,37181,NC,0.2510779285617029,0.25595987816886895
"Wake County, NC",0.129,0.151,37183,NC,0.112965303821038,0.1077668211078765
"Warren County, NC",0.225,0.215,37185,NC,0.24142011834319527,0.24176735985064565
"Washington County, NC",,0.213,37187,NC,0.21843575418994413,0.23626640738940205
"Watauga County, NC",0.16399999999999998,0.212,37189,NC,0.31381992541289294,0.31326346988461945
"Wayne County, NC",0.23600000000000002,0.20199999999999999,37191,NC,0.2229782110280898,0.21813283238994488
"Wilkes County, NC",0.28,0.19899999999999998,37193,NC,0.2329330894500826,0.21080450606074028
"Wilson County, NC",0.121,0.218,37195,NC,0.23085670015494578,0.22536284379605806
"Yadkin County, NC",0.255,0.196,37197,NC,0.20285585370385115,0.1897342866289617
"Yancey County, NC",0.214,0.185,37199,NC,0.2168045026418562,0.21323149371159478
"Adams County, ND",0.11199999999999999,0.153,38001,ND,0.09632224168126094,0.10514834205933682
"Barnes County, ND",0.16399999999999998,0.16,38003,ND,0.0797080845417496,0.09766555502620296
"Benson County, ND",0.345,0.319,38005,ND,0.3351126927639383,0.3353028064992615
"Billings County, ND",,0.157,38007,ND,0.10319917440660474,0.11004273504273504
"Bottineau County, ND",0.228,0.174,38009,ND,0.08526764566556135,0.09001740230976112
"Bowman County, ND",0.109,0.153,38011,ND,0.0743801652892562,0.07641300915693085
"Burke County, ND",0.247,0.187,38013,ND,0.13632246376811594,0.11835640911121036
"Burleigh County, ND",0.133,0.153,38015,ND,0.08168785501758183,0.07737221253556024
"Cass County, ND",0.161,0.156,38017,ND,0.12095051563381443,0.11775846221229712
"Cavalier County, ND",0.204,0.147,38019,ND,0.04764425622022234,0.052603613177470775
"Dickey County, ND",0.16399999999999998,0.161,38021,ND,0.08181632235631009,0.08560870457811538
"Divide County, ND",0.263,0.16399999999999998,38023,ND,0.079005770084332,0.09388646288209607
"Dunn County, ND",0.128,0.196,38025,ND,0.12560738581146744,0.11730907349772564
"Eddy County, ND",0.146,0.187,38027,ND,0.1368838028169014,0.13438735177865613
"Emmons County, ND",0.11599999999999999,0.158,38029,ND,0.11326291079812206,0.11954909522396914
"Foster County, ND",0.18899999999999997,0.157,38031,ND,0.0959902794653706,0.09352078239608802
"Golden Valley County, ND",0.187,0.177,38033,ND,0.100169779286927,0.09495387954422138
"Grand Forks County, ND",0.147,0.187,38035,ND,0.17468248038849457,0.17683217309790544
"Grant County, ND",,0.16899999999999998,38037,ND,0.14881720430107526,0.13571736320551486
"Griggs County, ND",0.156,0.13699999999999998,38039,ND,0.07998212689901697,0.07271906052393858
